colour,id,dayofweek-month-dayofmonth,daynumber,unixtimeint,hour
#362323,1152770757656107222_1456400821,FriJan1,1,1451641004,01
#322F2F,1152770829077301082_18816392,FriJan1,1,1451641013,01
#1B1818,1152770858288475421_1340348386,FriJan1,1,1451641016,01
#6F4545,1152770943188786429_2089047614,FriJan1,1,1451641026,01
#947F7F,1152770984427948023_1705488360,FriJan1,1,1451641031,01
#3C2929,1152771005239033220_1704062334,FriJan1,1,1451641034,01
#0B0909,1152771144717129180_1744353028,FriJan1,1,1451641050,01
#476565,1152771157014390988_614562601,FriJan1,1,1451641052,01
#313232,1152771477876379295_16750386,FriJan1,1,1451641090,01
#421515,1152771802349277634_1466891,FriJan1,1,1451641129,01
#1D1818,1152771810249431008_197555020,FriJan1,1,1451641130,01
#2B2323,1152771844662816720_239998258,FriJan1,1,1451641134,01
#403333,1152771947053505811_2089047614,FriJan1,1,1451641146,01
#7C5F5F,1152772056941918266_413485317,FriJan1,1,1451641159,01
#393030,1152772069837982648_1994613025,FriJan1,1,1451641161,01
#739898,1152772083209278649_22912884,FriJan1,1,1451641162,01
#6D5454,1152772187034600986_357722416,FriJan1,1,1451641175,01
#3B1414,1152772220547256489_48152579,FriJan1,1,1451641179,01
#715252,1152772244169369216_2952376,FriJan1,1,1451641181,01
#0B1111,1152772245713354114_10352846,FriJan1,1,1451641182,01
#7E7878,1152772318149184512_288498042,FriJan1,1,1451641190,01
#0B0909,1152772346906030818_243393723,FriJan1,1,1451641194,01
#532D2D,1152772378790878673_1094563478,FriJan1,1,1451641197,01
#675757,1152772570679017890_1511527239,FriJan1,1,1451641220,01
#7E7E7E,1152772608535883155_20236338,FriJan1,1,1451641225,01
#1D1B1B,1152772764374281434_1410229490,FriJan1,1,1451641243,01
#0C1111,1152772808529148674_585066789,FriJan1,1,1451641249,01
#190F0F,1152772901818674613_282861610,FriJan1,1,1451641260,01
#170505,1152772921935527703_362558,FriJan1,1,1451641262,01
#665252,1152773306488060823_284649477,FriJan1,1,1451641308,01
#130707,1152773306109890779_16903811,FriJan1,1,1451641308,01
#402F2F,1152773380725333317_2089047614,FriJan1,1,1451641317,01
#6A5F5F,1152773547239478501_22912884,FriJan1,1,1451641337,01
#5A4E4E,1152773592193955420_195897812,FriJan1,1,1451641342,01
#1C1111,1152773628023644275_229339711,FriJan1,1,1451641346,01
#111313,1152773631628536754_4132553,FriJan1,1,1451641347,01
#2F3030,1152773641123092897_460236237,FriJan1,1,1451641348,01
#574B4B,1152773646242856065_1485063886,FriJan1,1,1451641349,01
#3D3A3A,1152773673463935959_476598931,FriJan1,1,1451641352,01
#581F1F,1152773686547550153_1309221378,FriJan1,1,1451641353,01
#403030,1152773704531714450_28580391,FriJan1,1,1451641355,01
#090505,1152773716352695070_585066789,FriJan1,1,1451641357,01
#150F0F,1152773745832720069_1548959188,FriJan1,1,1451641360,01
#8A9494,1152773853675117911_2261902678,FriJan1,1,1451641373,01
#5F6060,1152773903545326934_2089047614,FriJan1,1,1451641379,01
#140D0D,1152773939103129794_1632066143,FriJan1,1,1451641384,01
#737575,1152773950033856465_1180641504,FriJan1,1,1451641385,01
#121414,1152774004477044144_578872600,FriJan1,1,1451641391,01
#1D1717,1152774058381087611_210166475,FriJan1,1,1451641398,01
#1C1515,1152774109785068697_2124440100,FriJan1,1,1451641404,01
#8F8E8E,1152774222125605284_12325391,FriJan1,1,1451641417,01
#5D1313,1152774232359351485_318655044,FriJan1,1,1451641418,01
#181616,1152774231228996925_1535397102,FriJan1,1,1451641418,01
#453838,1152774273936234182_487372916,FriJan1,1,1451641423,01
#4B2C2C,1152774269634078960_1972494089,FriJan1,1,1451641423,01
#4D4141,1152774275909000072_1376349325,FriJan1,1,1451641424,01
#7B8585,1152774297424506280_268353082,FriJan1,1,1451641426,01
#241D1D,1152774327302093035_2316345509,FriJan1,1,1451641430,01
#838A8A,1152774406551710748_8802890,FriJan1,1,1451641439,01
#705757,1152774472391932992_221350974,FriJan1,1,1451641447,01
#312E2E,1152774550376446935_183569893,FriJan1,1,1451641456,01
#8F4848,1152774589045360289_537202384,FriJan1,1,1451641461,01
#898181,1152774639814584394_31423721,FriJan1,1,1451641467,01
#595353,1152774823288031170_325856584,FriJan1,1,1451641489,01
#434D4D,1152774823071091297_485392721,FriJan1,1,1451641489,01
#675B5B,1152774860368081916_476598931,FriJan1,1,1451641493,01
#4B2626,1152775038028305288_26666875,FriJan1,1,1451641514,01
#7D5B5B,1152775073035032298_487372916,FriJan1,1,1451641519,01
#7C4A4A,1152775082360289557_1506900109,FriJan1,1,1451641520,01
#968585,1152775091380208722_22147224,FriJan1,1,1451641521,01
#776868,1152775108391244236_17086187,FriJan1,1,1451641523,01
#ACA5A5,1152775232075686242_15218927,FriJan1,1,1451641538,01
#5D4D4D,1152775239490743670_1375983466,FriJan1,1,1451641539,01
#826F6F,1152775338559610733_390627886,FriJan1,1,1451641550,01
#2C2525,1152775352784683598_231410927,FriJan1,1,1451641552,01
#192929,1152775492492180121_55884461,FriJan1,1,1451641569,01
#9B5E5E,1152775545512176126_616560169,FriJan1,1,1451641575,01
#402E2E,1152775614602885462_471247253,FriJan1,1,1451641583,01
#171212,1152775610206038939_2986065,FriJan1,1,1451641583,01
#829999,1152775678979477526_1684759611,FriJan1,1,1451641591,01
#1A1616,1152775703404215134_585066789,FriJan1,1,1451641594,01
#402B2B,1152775735405683530_600743,FriJan1,1,1451641598,01
#181616,1152775788791029121_1395990982,FriJan1,1,1451641604,01
#472B2B,1152775878374630892_578872600,FriJan1,1,1451641615,01
#666060,1152775924805678308_2265167700,FriJan1,1,1451641620,01
#2E2727,1152775984681131050_570735326,FriJan1,1,1451641627,01
#0A1313,1152776010849475031_646639501,FriJan1,1,1451641630,01
#2E2F2F,1152776017858701203_1348975936,FriJan1,1,1451641631,01
#293F3F,1152776209406758335_53148458,FriJan1,1,1451641654,01
#050303,1152776225446222215_453433893,FriJan1,1,1451641656,01
#6E4646,1152776270078263510_1309055239,FriJan1,1,1451641661,01
#384D4D,1152776297530186246_2232929533,FriJan1,1,1451641665,01
